epsilon,lambda,CTX,SSI,ERR
0.1,0.1,0.18524,0.80885,0.591035
0.1,0.2,0.18492,0.821325,0.589663
0.1,0.3,0.19315,0.848836,0.587784
0.1,0.4,0.19563,0.846975,0.590624
0.1,0.5,0.19458,0.852821,0.593035
0.1,0.6,0.20251,0.864892,0.58464
0.1,0.7,0.20617,0.892933,0.592769
0.1,0.8,0.21469,0.89973,0.588951
0.1,0.9,0.2193,0.915446,0.58408
0.1,1.0,0.21854,0.919162,0.589787
0.6444,0.1,0.08774,0.785874,0.788762
0.6444,0.2,0.09552,0.830839,0.788242
0.6444,0.3,0.09694,0.81791,0.78748
0.6444,0.4,0.10179,0.822325,0.794264
0.6444,0.5,0.10548,0.848691,0.785934
0.6444,0.6,0.10716,0.882784,0.787151
0.6444,0.7,0.11086,0.888884,0.790198
0.6444,0.8,0.11682,0.903454,0.791601
0.6444,0.9,0.12456,0.919389,0.789344
0.6444,1.0,0.13138,0.935996,0.794168
1.1889,0.1,0.06901,0.817405,0.87398
1.1889,0.2,0.07188,0.812634,0.877573
1.1889,0.3,0.07572,0.818382,0.87722
1.1889,0.4,0.08373,0.835845,0.875501
1.1889,0.5,0.08057,0.844371,0.881192
1.1889,0.6,0.08617,0.882391,0.881069
1.1889,0.7,0.09249,0.89628,0.883072
1.1889,0.8,0.09864,0.907981,0.874197
1.1889,0.9,0.1042,0.904985,0.881974
1.1889,1.0,0.11383,0.917689,0.878243
1.7333,0.1,0.05705,0.807012,0.926838
1.7333,0.2,0.06431,0.789432,0.928646
1.7333,0.3,0.07057,0.817643,0.923298
1.7333,0.4,0.07405,0.829771,0.928601
1.7333,0.5,0.07315,0.846982,0.924094
1.7333,0.6,0.0766,0.875921,0.926858
1.7333,0.7,0.08287,0.889414,0.928332
1.7333,0.8,0.08585,0.894871,0.927452
1.7333,0.9,0.09525,0.915,0.929721
1.7333,1.0,0.10948,0.910249,0.924518
2.2778,0.1,0.05749,0.801423,0.955267
2.2778,0.2,0.05978,0.823756,0.957385
2.2778,0.3,0.06276,0.818937,0.957387
2.2778,0.4,0.06846,0.835161,0.958156
2.2778,0.5,0.06943,0.85213,0.954861
2.2778,0.6,0.07227,0.879466,0.955374
2.2778,0.7,0.07934,0.881721,0.957077
2.2778,0.8,0.08218,0.892033,0.957487
2.2778,0.9,0.09207,0.914503,0.958101
2.2778,1.0,0.10194,0.930435,0.95672
2.8222,0.1,0.05578,0.803467,0.975876
2.8222,0.2,0.05613,0.818281,0.973919
2.8222,0.3,0.06161,0.82776,0.974925
2.8222,0.4,0.06313,0.840454,0.972098
2.8222,0.5,0.06808,0.852576,0.974879
2.8222,0.6,0.07255,0.884119,0.975671
2.8222,0.7,0.07692,0.900706,0.974666
2.8222,0.8,0.08426,0.899472,0.973855
2.8222,0.9,0.08677,0.911305,0.9755
2.8222,1.0,0.10039,0.915143,0.97392
3.3667,0.1,0.04997,0.806645,0.985105
3.3667,0.2,0.05366,0.810213,0.98532
3.3667,0.3,0.05906,0.815155,0.98363
3.3667,0.4,0.0608,0.822512,0.98557
3.3667,0.5,0.06497,0.843922,0.985952
3.3667,0.6,0.06769,0.875267,0.98528
3.3667,0.7,0.07535,0.897373,0.985095
3.3667,0.8,0.08201,0.900891,0.985744
3.3667,0.9,0.08951,0.896195,0.985443
3.3667,1.0,0.09826,0.917499,0.986911
3.9111,0.1,0.04892,0.798047,0.991019
3.9111,0.2,0.05503,0.806894,0.991717
3.9111,0.3,0.05715,0.807878,0.991557
3.9111,0.4,0.06166,0.829059,0.990632
3.9111,0.5,0.06248,0.845987,0.991612
3.9111,0.6,0.06766,0.876009,0.992834
3.9111,0.7,0.07468,0.897107,0.990637
3.9111,0.8,0.08093,0.904211,0.990502
3.9111,0.9,0.08962,0.924358,0.991602
3.9111,1.0,0.09927,0.927645,0.991716
4.4556,0.1,0.05301,0.804112,0.994513
4.4556,0.2,0.05544,0.811649,0.993601
4.4556,0.3,0.0573,0.821379,0.994913
4.4556,0.4,0.05997,0.833616,0.995348
4.4556,0.5,0.06348,0.857871,0.995153
4.4556,0.6,0.06849,0.880726,0.995079
4.4556,0.7,0.07394,0.87898,0.994098
4.4556,0.8,0.08022,0.896636,0.994704
4.4556,0.9,0.08822,0.913846,0.993672
4.4556,1.0,0.09551,0.921903,0.994609
5.0,0.1,0.04976,0.811176,0.997134
5.0,0.2,0.05106,0.808214,0.996947
5.0,0.3,0.0603,0.812132,0.997238
5.0,0.4,0.06342,0.83467,0.996537
5.0,0.5,0.06384,0.844562,0.997699
5.0,0.6,0.06656,0.885547,0.996987
5.0,0.7,0.07307,0.894847,0.997164
5.0,0.8,0.08091,0.894879,0.997856
5.0,0.9,0.08515,0.904844,0.997143
5.0,1.0,0.09544,0.91838,0.997346
